"league_id","pixel_prod_num","center_number","name","start_date","end_date","lineage_cost","centaman_league_number","day_of_week","cover","gl_account"
"2D945958-76E3-41BE-AC4D-B16910B2FB37","","852","5408-Piscataway High School GM","11/01/2018 0:00","03/20/2019 0:00","3.2","5408","1","1","4125"
"2D945958-76E3-41BE-AC4D-B16910B2FB37","","852","5408-Piscataway High School GM","11/01/2018 0:00","03/20/2019 0:00","3.2","5408","2","1","4125"
"2D945958-76E3-41BE-AC4D-B16910B2FB37","","852","5408-Piscataway High School GM","11/01/2018 0:00","03/20/2019 0:00","3.2","5408","3","1","4125"
"2E32CC6A-7C60-40E8-A8AE-8C59AC771F80","","403","5500-Woodbrook Fall 18-19","10/26/2018 0:00","04/05/2019 0:00","8","5500","5","3","4130"
"2E42EB12-EF6C-49FC-A599-B26A1E71AEFC","","834","5603-Roswell Varsity Fall 2018","08/25/2018 0:00","05/11/2019 0:00","8","5603","6","3","4125"
"2F118B39-A71B-41F8-B5E6-F889A56C8AFA","","401","7618-milestone community","10/27/2018 0:00","12/01/2018 0:00","6","9997618","8","3","4140"
"2F559A93-0880-4A24-BBDF-374B60AB2E78","","873","5602-Saturday Risin'","09/01/2018 0:00","05/04/2019 0:00","10","5602","6","3","4115"
"2F84C6A8-38B7-4BE5-8E9F-32ED273C59E9","","65","5300-Triangle Rainbow 18/19","08/29/2018 0:00","04/24/2019 0:00","13","5300","3","3","4115"
"2FF2EB6D-CEAB-4274-9CD8-91CD94F13175","","874","5301-WICKED WAHINIS","08/22/2018 0:00","05/29/2019 0:00","10","5301","3","3","4130"
"3050E819-F576-4F25-858E-1D6E30E3E175","","883","5302-WEDNESDAY FUN TIME","08/22/2018 0:00","04/17/2019 0:00","12.75","5302","3","3","4115"
"31401A57-F2EB-4E4F-9DF8-42099D7CB847","","852","5402-Piscataway Chiefs","10/25/2018 0:00","03/14/2019 0:00","8","5402","4","3","4125"
"31AA0E19-F6AB-4518-A855-36E44EAFA277","","358","7630-ABT October 13th &14th","09/29/2018 0:00","11/04/2018 0:00","2.45","9997630","8","1","4140"
"31CE2ED7-51B9-4218-9F8D-0BC0F21DAA8B","","883","5401-MODERN MATURITY CENTER","08/16/2018 0:00","04/04/2019 0:00","9","5401","4","3","4130"
"32C3C06C-8990-40FE-BC91-55490F7F6862","","852","5606-New Jersey Hawks","10/20/2018 0:00","04/27/2019 0:00","8","5606","6","3","4125"
"3322B642-177B-41DF-A93B-40A03F3A40EF","","844","5105-Rolling Meadows HS Girls","10/29/2018 0:00","03/04/2019 0:00","1.5","5105","1","3","4115"
"3322B642-177B-41DF-A93B-40A03F3A40EF","","844","5105-Rolling Meadows HS Girls","10/29/2018 0:00","03/04/2019 0:00","1.5","5105","2","3","4115"
"3322B642-177B-41DF-A93B-40A03F3A40EF","","844","5105-Rolling Meadows HS Girls","10/29/2018 0:00","03/04/2019 0:00","1.5","5105","3","3","4115"
"3322B642-177B-41DF-A93B-40A03F3A40EF","","844","5105-Rolling Meadows HS Girls","10/29/2018 0:00","03/04/2019 0:00","1.5","5105","4","3","4115"
"3322B642-177B-41DF-A93B-40A03F3A40EF","","844","5105-Rolling Meadows HS Girls","10/29/2018 0:00","03/04/2019 0:00","1.5","5105","5","3","4115"
"33D406E4-40EB-45CC-B63F-86AD9EBED6D2","","295","7401-Thanksgiving Turkey Shoot","09/27/2018 0:00","01/17/2019 0:00","10","9997401","8","3","4140"
